"","Custom_Segment_Name","ROI","ROI_.Label.","Segment","Segment_.Name._Label.","ROI_X_Coordinate","ROI_Y_Coordinate","Segment_Tags","AOI","AOI_surface_area","AOI_nuclei_count","Fov_count","Fov_counted","BindingDensity","Scan_Name","Slide","Scan_plexset","Origin_Instrument_ID","X.Factor","Scan_ID","ROI_ID","LOT_Mouse_Immune_Cell_Profiling_Protein_Core_1_0","LOT_Mouse_Immune_Cell_Typing_Protein_Module_1_0","LOT_Mouse_nC_Cell_Death_Protein_1_1","LOT_Mouse_Pan_Tumor__Protein_Module_1_0"
"1","P610_P614_001_Islets","62602bdb-72be-4f03-8e12-85c590357f5b",1,"2e21bfaf-1b57-4a37-b51f-45f497f05475","islets",29413,67354,"Islets_KO_Inflamed",1,23184.51287,242,280,280,0.2,"P610/P614","e2214adf-6536-49bc-9092-c7927cffa952",2,"2204G0420",NA,"P610/P614",1,"ICPM1001",474068,474158,"PTRM10001"
"2","P610_P614_002_Islets","3f1ddfc8-0702-4ca4-9419-4b729ed8e3a0",2,"4cdccb04-6323-4ec8-b400-4e609481b1dc","islets",24281,63701,"Islets_KO_Inflamed",1,22296.67915,262,280,279,0.18,"P610/P614","e2214adf-6536-49bc-9092-c7927cffa952",2,"2204G0420",NA,"P610/P614",2,"ICPM1001",474068,474158,"PTRM10001"
"3","P610_P614_003_Islets","375c4558-4913-4c68-a2be-c50776f777ec",3,"4ae03f1e-639c-470f-8eca-74f70af40b4b","islets",24353,63820,"Islets_KO_Inflamed",1,19558.54342,237,280,280,0.17,"P610/P614","e2214adf-6536-49bc-9092-c7927cffa952",2,"2204G0420",NA,"P610/P614",3,"ICPM1001",474068,474158,"PTRM10001"
"4","P610_P614_004_Islets","2e203bc0-21e8-4453-9954-9dccc8ea7ec9",4,"7aeee9c6-8e17-443d-aee9-f92fba22467c","islets",14109,60334,"Islets_KO_Inflamed",1,20989.78029,220,280,280,0.22,"P610/P614","e2214adf-6536-49bc-9092-c7927cffa952",2,"2204G0420",NA,"P610/P614",4,"ICPM1001",474068,474158,"PTRM10001"
"5","P610_P614_005_Islets","c3f98c63-b343-4844-b2e0-022c17938cab",5,"2e2ba2ba-abd8-4777-ba89-263404366e6b","islets",17731,55477,"Islets_KO_Inflamed",1,28854.35782,261,280,280,0.2,"P610/P614","e2214adf-6536-49bc-9092-c7927cffa952",2,"2204G0420",NA,"P610/P614",5,"ICPM1001",474068,474158,"PTRM10001"
"6","P610_P614_006_Islets","3df16591-0ef1-4967-8527-5da7fb1b3f7d",6,"6b53cf09-0cf8-4707-ba61-1877bbeab58b","islets",13832,63745,"Islets_KO_Inflamed",1,14874.8275,200,280,266,0.2,"P610/P614","e2214adf-6536-49bc-9092-c7927cffa952",2,"2204G0420",NA,"P610/P614",6,"ICPM1001",474068,474158,"PTRM10001"
"7","P610_P614_007_Islets","78caeeb6-7fa9-4b4d-a59e-6c4f240bf624",7,"11a47658-df72-4ce8-b2eb-f96ce95fa1bd","islets",13581,53614,"Islets_KO_Inflamed",1,26342.66653,331,280,279,0.23,"P610/P614","e2214adf-6536-49bc-9092-c7927cffa952",2,"2204G0420",NA,"P610/P614",7,"ICPM1001",474068,474158,"PTRM10001"
"8","P610_P614_008_Islets","83866f33-7149-4ccd-8878-6e8aa04bc21b",8,"233c07d5-096c-4c1f-a5e6-0e2512c3471b","islets",13599,53847,"Islets_KO_Inflamed",1,20008.25637,229,280,280,0.19,"P610/P614","e2214adf-6536-49bc-9092-c7927cffa952",2,"2204G0420",NA,"P610/P614",8,"ICPM1001",474068,474158,"PTRM10001"
"9","P610_P614_009_Islets","da7e442d-9ae2-442a-a4c0-8ac9399cf60f",9,"edba7190-626d-4607-bb1a-43778d386f2e","islets",13721,54012,"Islets_KO_Inflamed",1,23959.60077,333,280,279,0.19,"P610/P614","e2214adf-6536-49bc-9092-c7927cffa952",2,"2204G0420",NA,"P610/P614",9,"ICPM1001",474068,474158,"PTRM10001"
"10","P610_P614_010_Islets","89a6f4e4-3701-46bb-9a64-aeb70b377d7e",10,"771e13a5-1c95-4507-8321-47ed231fe31f","islets",12924,55101,"Islets_KO_Inflamed",1,15524.9422,135,280,280,0.19,"P610/P614","e2214adf-6536-49bc-9092-c7927cffa952",2,"2204G0420",NA,"P610/P614",10,"ICPM1001",474068,474158,"PTRM10001"
